_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
1,3sixty Education,882408,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sangeeta Kumar,101,,141 Brunel Road,Mississauaga,Ontario,L4Z1X3,647-494-4340,647-494-4341,Central Region,sangeetakumar@3sixtyeducation.ca,www.3sixtyeducation.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
2,A R S Armenian Private School,880655,Offers credits toward the Ontario Secondary School Diploma (OSSD),Raffi Sarkissian,,,50 Hallcrown Place,Toronto,Ontario,M2J1P7,416-491-2675,416-491-8559,Central Region,office@arsdayschool.ca,www.arsarmenianschool.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
3,A+ Academy of Advancement,885186,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bushra Shahrin,205,,69 Lebovic Ave,Scarborough,Ontario,M1L0H2,416-857-1654,416-907-3300,East Region,info@aplusacademy.ca,www.aplusacademy.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
4,ABC Montessori Private School,877417,,Raj Vekaria,,,305 Matheson Boulevard East,Mississauga,Ontario,L4Z1X8,905-568-8989,905-568-0958,Central Region,contactus@abcmontessori.com,http://www.abcmontessori.com,Elementary,Not applicable,Site based only,No Association Membership
5,ADRABA,885298,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Aviv,,,750 Spadina Ave,Toronto,Ontario,M5S2J2,437-777-2372,,Toronto Region,info@adraba.ca,www.adraba.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
6,AIM KW School,886708,,Chantelle Aguilar,,,145 Lincoln Road,Waterloo,Ontario,N2J2N8,519-208-7300,519-208-7301,West Region,office@aimkwschool.com,www.aimkwschool.com,Elementary,Not applicable,Site based only,No Association Membership
7,AIM Montessori Academy,668974,,Keturah White,,,3515 King st.,Inglewood,Ontario,L7C0T6,905-716-7627,,Central Region,misswhiteataim@gmail.com,,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
8,AIM Montessori Academy Inc.,886226,,Keturah White,,,3515 King St.,Inglewood,Ontario,L7C0T6,905-716-7627,,Central Region,misswhiteataim@gmail.com,,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
9,AIM Without Limits (AWL),669075,,Suki Choi,13,,121 Granton Dr.,Richmond Hill,Ontario,L4B3N4,905-604-8226,,Central Region,info@autisminmind.org,www.autisminmind.org,Elementary,Not applicable,Site based only,No Association Membership
10,AIMS PLUS High School,886199,Offers credits toward the Ontario Secondary School Diploma (OSSD),Renubala Sharma,114,,284 Queen Street East,Brampton,Ontario,L6V1C2,905-497-2114,,Central Region,Info@aimsplus.ca,www.aimsplus.ca,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
11,AIS Elementary School (Aurora Internatio,668692,,Dianna Jiang,D,,250 Ferrier Street,Markham,Ontario,L3R2Z5,416-878-1396,,Central Region,diannaj@CanadaAIS.ca,,Elementary,Not applicable,Site based only,No Association Membership
12,AIS School,669799,,Dianna Jiang,101,,3190 Steeles Avenue,Markham,Ontario,L3R1G9,905-868-9559,905-868-9559,Central Region,info@canadaais.ca,www.canadaais.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
13,AL-Manarat Islamic School,666320,Offers credits toward the Ontario Secondary School Diploma (OSSD),Junaid Ali,121,,2550 Argentia Road,Mississauga,Ontario,L5N5R1,905-997-0260,,Central Region,info@almanaratheights.com,www.almanaratheights.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
14,ALDERWOOD ACADEMY,889552,,Izabela Podgajna,,,999 LAKESHORE RD EAST,MISSISSAUGA,Ontario,L5E1E5,647-855-5999,,West Region,izabelapodgajna@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
15,ALIF Canada,882622,Offers credits toward the Ontario Secondary School Diploma (OSSD),Aejaz Patel,4,,505 Ellesmere Road,Toronto,Ontario,M1R4E5,416-438-4141,416-439-6181,East Region,info@alifedu.ca,www.alifedu.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
16,AM International Private Schools and Childcare,883234,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Sehrish Memon,,,450 Huntington Ridge Dr,Mississauga,Ontario,L5R0A9,647-786-8809,,Central Region,sehrishm@amschoolcanada.org,www.amschoolcanada.org,Elem/Sec,Not applicable,Online Only,No Association Membership
17,ARC Studio School,888147,,Megan Lelli,,,24 Sandridge Rd,Ottawa,Ontario,K1K0A8,,,East Region,info@arcstudioschool.ca,www.arcstudioschool.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
18,ASIM'SCHOOL,881644,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Sima Shahid,4A,,421 Nugget Avenue,Toronto,Ontario,M1S4L8,647-693-9313,,Central Region,info@asimschool.ca,www.asimschool.ca,Secondary,All Year Round,Online Only,No Association Membership
19,ASK Online Canada,668910,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheileen Krone,,,42 Birchard Boulevard,Mt. Albert,Ontario,L0G1M0,416-735-5547,,Central Region,sheileen2007@hotmail.com,www.askonlinecanada.ca,Secondary,All Year Round,Online Only,No Association Membership
20,AVRO Academy,667321,Offers credits toward the Ontario Secondary School Diploma (OSSD),Efrat Shapir,,,1640A Avenue Road,Toronto,Ontario,M5M3X9,647-352-6060,,Toronto Region,learn@avroacademy.com,www.avroacademy.com,Secondary,All Year Round,Site based only,No Association Membership
21,Abacus Montessori & Private School,669111,,Jayanthi Rajagopalan,,,2723 ST. CLAIR EAST AVE.,EAST YORK,Ontario,M4B1M8,416-285-0110,416-494-4650,Toronto Region,info@abacusmontessori.ca,www.abacusmontessori.ca,Elementary,Not applicable,Site based only,No Association Membership
22,"Abelard Centre for Education, The",877808,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Young,4th floor,,557 Church Street,Toronto,Ontario,M4Y2E2,416-944-0661,416-944-8902,Toronto Region,info@abelardschool.org,http://www.abelardschool.org/,Elem/Sec,Not applicable,Site based only,No Association Membership
23,Above and Beyond Learning Experience Inc,665161,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michelle White,Lower level,,7810 ON 89,Alliston,Ontario,L9R1V5,905-796-2253,844-320-4838,Central Region,able_info@ablearning.org,www.ablearning.org,Elem/Sec,Not applicable,Site based only,No Association Membership
24,Abraar,878987,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ahmed Alroz,,,1085 Grenon Ave,Ottawa,Ontario,K2B8L7,613-820-0044,613-820-1495,East Region,aalroz@abraarschool.com,http://www.abraarschool.com,Elem/Sec,All Year Round,Site based only,No Association Membership
25,Abraar School - Elementary,889470,,Mohammed Saleem,,,70 Fieldrow Street,Ottawa,Ontario,K2G2Y7,613-226-1396,613-226-2745,East Region,eprincipal@abraarschool.com,www.abraarschool.com,Elementary,Not applicable,Site based only,Muslim Association of Canada
26,Abu Huraira Center Academy,886295,,Deqa Farah,,,270 Yorkland Boulevard,Toronto,Ontario,M2J5C9,647-509-2422,,Central Region,principal@abuhuraira.org,http://ahcacademy.com/,Elementary,Not applicable,Site based only,No Association Membership
27,Acacia International High School,668358,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ana Mohamed,103,,235 Dixon Road,Etobicoke,Ontario,M9P2M5,416-712-8864,,Central Region,anodsmohamed@gmail.com,www.acischool.ca,Secondary,All Year Round,Site based only,No Association Membership
28,Academia Stella Maris,884149,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephanie Montojo,,,45 des Benevoles Street,Limoges,Ontario,K0A2M0,343-883-6600,,East Region,info@academiastellamaris.ca,www.academiastellamaris.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
29,Academy Of Rainbows,667046,,Malaika Adams,,,32 Hasanville Lane,Barrys Bay,Ontario,K0J1B0,416-559-5044,,East Region,ambermiller1324@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
30,"Academy for Gifted Children, The (PACE)",876330,,Janice Gruchy,,,12 Bond Cres,Richmond Hill,Ontario,L4E3K2,905-773-0997,905-773-4722,Central Region,jgruchy@pace.ca,http://www.pace.ca,Elementary,Not applicable,Site based only,No Association Membership
31,Academy of CISAF,883572,,Steven Hua,,,2 Duncan Mill Rd,North York,Ontario,M3B1Z4,416-828-9078,,Toronto Region,steven@eaglemountainhighschool.com,,Secondary,Not applicable,nan,
32,Academy of Enlightened Minds,883776,,Adrian Kremblewski,3rd Floor,,345 Sorauren Ave,Toronto,Ontario,M6R2G5,416-531-6463,,Toronto Region,info@academyofenlightenedminds.com,,Elementary,Not applicable,Site based only,No Association Membership
33,Academy of Excellence,883027,Offers credits toward the Ontario Secondary School Diploma (OSSD),Giti Fatemi,,,128 Willowdale Ave,Toronto,Ontario,M2N4Y2,416-733-9813,416-733-9813,Central Region,academyofexcellence1@yahoo.ca,academyofexcellence.ca,Secondary,All Year Round,Site based only,No Association Membership
34,Academy of Math and English,668977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jeff McNair,103,,5101 Dundas Street West St,ETOBICOKE,Ontario,M9A5G8,416-242-9410,647-342-4034,Central Region,info@mathandenglish.com,www.mathandenglish.com,Secondary,Not applicable,Site based only,No Association Membership
35,Academy of New Echo Education,668797,,Di Chang,,,2716 Victoria Park Avenue,North York,Ontario,M2J4A7,647-346-3091,,East Region,info@aedcedu.com,www.newechoedu.com,Elementary,Not applicable,Online/Site Based,No Association Membership
36,Academy of Scholars Inc.,668083,,Zannatul Hasib Moiet,488,,1 Greystone Walk Dr.,Scarborough,Ontario,M1K5J3,647-997-6108,,East Region,masum3.mustafa@gmail.com,https://academyofsinc.ca/,Secondary,Not applicable,Online Only,No Association Membership
37,Académie Providence Soeurs Antonines,666548,,Félicité Daou,,,998 Frances rue,Ottawa,Ontario,K1K3L5,613-744-8489,613-744-6762,East Region,admin@academieprovidence.ca,www.academieprovidence.ca,Elementary,Not applicable,Site based only,Other
38,Académie Ste Cécile International,876275,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samantha Morin,,,925 Cousineau Rd,Windsor,Ontario,N9G1V8,519-969-1291,519-969-7953,West Region,info@stececile.ca,http://www.academiestececile.ca,Elem/Sec,Not applicable,Online/Site Based,Ontario Federation of Independent Schools
39,Académie de la Capitale,878731,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lucie Lalonde,,,3448 Richmond Road,Ottawa,Ontario,K2H8H7,613-721-3872,613-721-8189,East Region,info@acadecap.org,http://www.acadecap.org,Elem/Sec,Not applicable,Site based only,Other
40,Ace Acumen Heights,884091,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yifan Li,101,,1440 Don Mills Road,Toronto,Ontario,M3B3M1,416-756-7227,,Central Region,francisco.guevara@canadaacumen.ca,www.aahs.ca,Secondary,All Year Round,Online/Site Based,Independent and Private School Forum
41,Ace Acumen Heights - Peel Campus,668878,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Jun Wu,,,21 Coventry Road,Brampton,Ontario,L6T4V7,416-756-7227,,Central Region,francisco.guevara@canadaacumen.ca,www.aahs.ca,Elem/Sec,All Year Round,Online/Site Based,Independent and Private School Forum
42,Acheron College (Beaver Creek/Fenbrook),884408,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael Gallagher,,1240,2000 Beaver Creek Drive,Gravenhurst,Ontario,P1P1W9,705-687-1736,705-687-1841,Central Region,richard.johnson@csc-scc.gc.ca,,Secondary,Not applicable,Site based only,No Association Membership
43,Acheron College (Collins Bay),880977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rod LeBlanc,,190,1455 Bath Road,Kingston,Ontario,K7L4V9,613-536-6295,613-536-4023,East Region,Rod.leblanc@csc-scc.gc.ca,,Secondary,All Year Round,Site based only,No Association Membership
44,Acheron College (Grand Valley),669520,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Stuart,,,1575 Homer Watson Blvd.,Kitchener,Ontario,N2P2C5,519-895-8277,519-895-8230,West Region,peter.stuart@csc-scc.gc.ca,,Secondary,All Year Round,Site based only,No Association Membership
45,Acheron College (Joyceville/Pittsburgh),881692,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin MacInnis,,,3766 HWY 15 Joyceville,Kingston,Ontario,K0H1Y0,613-536-6598,613-536-6694,East Region,,,Secondary,All Year Round,Site based only,No Association Membership
46,Acheron College (Millhaven/Bath),667407,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin MacInnis,,,5775 Bath Road,Bath,Ontario,K0H1G0,613-351-8175,613-351-8374,East Region,,,Secondary,All Year Round,Site based only,No Association Membership
47,Acheron College (Warkworth),881407,Offers credits toward the Ontario Secondary School Diploma (OSSD),Paul Bramley,,,15847 County Road 29,Warkworth,Ontario,K0K3K0,705-924-8069,705-924-8292,East Region,gen-ont-wi-school@csc-scc.gc.ca,,Secondary,All Year Round,Site based only,No Association Membership
48,Across and Vertical Academy,665799,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gordon Ng,1216,,10 Rouge Valley Dr W,Markham,Ontario,L6G0G9,647-551-3654,,Central Region,gordon@acrossandvertical.com,,Secondary,All Year Round,Online Only,No Association Membership
49,Acton Academy Lanark,884888,,Ipshita Rafique,,,152 Church Street,Smiths Falls,Ontario,K7A4S7,613-255-3557,,East Region,ipshi@actonacademylanark.ca,www.actonacademylanark.ca,Elementary,Not applicable,Site based only,Other
50,Acton Academy Mississauga,665734,,Sabrina Anzini,,,295 Queen Street South,Streetsville,Ontario,L5M1L9,647-522-1064,,Central Region,Hello@actonacademymississauga.org,https://www.actonacademymississauga.org/,Elementary,Not applicable,Site based only,No Association Membership
51,Acton Academy Sault Ste Marie,886411,,Nigel Roedde,,,753 McNabb St,Sault Ste Marie,Ontario,P6B0A3,289-400-6496,,North Region,info@actonsaultstemarie.com,www.actonsaultstemarie.com,Elementary,Not applicable,Site based only,No Association Membership
52,Actua Academy,669779,Offers credits toward the Ontario Secondary School Diploma (OSSD),Janelle Fournier,,,111 Murray Street,Ottawa,Ontario,K1N5M5,613-234-4137,,East Region,principal@actua.ca,actua.ca,Secondary,Summer,Online/Site Based,No Association Membership
53,Addae Cares Private Academy,884602,,Shantel Gray,,,7 Queen Street West,Elmvale,Ontario,L0L1P0,647-533-5143,,Central Region,corporate@addaecares.com,www.addaecares.com,Elementary,Not applicable,Online/Site Based,No Association Membership
54,Adelfiha's Christian Academy,877514,,Joanna Baxter,,,4340 Dufferin St,Toronto,Ontario,M3H5R9,416-633-5440,416-630-2547,Central Region,jannalyn.baxter@gmail.com,www.adelfiha.ca,Elementary,Not applicable,Online/Site Based,Other
55,Adults in Motion Private School,663832,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kim Jeffries,,,48 Syrette Lake Rd,Garden River,Ontario,P6A5K9,705-946-3933,705-946-0410,North Region,adultsinmotion@gardenriver.ca,,Secondary,First Nation,Online/Site Based,Independent and Private School Forum
56,Advanced Christian Academy,877395,,David Loganathan,,,1100 Bellamy Rd N,Toronto,Ontario,M1H1H2,416-439-7008,,East Region,threefishes7@gmail.com,www.threefishes.org,Elementary,Not applicable,Site based only,No Association Membership
57,Adventist Christian Elementary School,665717,,Kimberley Chute,,,805 SHELBORNE ST,London,Ontario,N5Z5C6,519-601-2277,519-453-9419,West Region,PRINCIPAL@ACESLONDON.CA,www.aceslondon.ca,Elementary,Not applicable,Online/Site Based,Ontario Conference of the Seventh Day Adventist Church
58,Afzal Islamic Montessori & Academy,667455,,Mohammed Ansari,,,188 Shorting Road,Scarborough,Ontario,M1S3S7,416-286-0110,,East Region,afzalacademy@gmail.com,www.afzalacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
59,Agate Private School,875546,,Gayle Hanlon,,,43 Chaplin Ave,St. Catharines,Ontario,L2R2E4,289-968-9781,,West Region,info@learnfree.ca,www.learnfree.ca,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
60,Agile Preparatory Academy,883112,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yue Dong,107,,52 Church Street,Toronto,Ontario,M5C2B5,416-936-8787,,Central Region,info@agileprep.ca,www.agileprep.ca,Secondary,All Year Round,Online Only,No Association Membership
61,Agincourt International Academy,883230,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samy Appadurai,229,,"80 Nashdene Ave, Building F",Scarborough,Ontario,M1V5E4,416-701-1763,416-701-9542,East Region,guidance@aia.school,aia.school,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
62,Agincourt Montessori School Inc,878456,,Kiera Thompson,,,2575 Midland Ave,Toronto,Ontario,M1S1R3,416-291-0726,,East Region,agincourtmontessori@gmail.com,www.agincourtmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
63,Aglace Chapman Education Centre,663689,Offers credits toward the Ontario Secondary School Diploma (OSSD),"Helen Garvin, Jason Robinson",,168,,Big Trout Lake,Ontario,P0V1G0,807-537-2264,807-537-1067,North Region,,,Elem/Sec,First Nation,Site based only,No Association Membership
64,Agora Prep Academy,665293,,Sylvia Martignani,103,,126 Wellington St. W,Aurora,Ontario,L4G2N9,888-524-6725,,Central Region,info@agoraprep.com,www.agoraprep.com,Elementary,Not applicable,Site based only,No Association Membership
65,Ahlul Bayt Islamic School,665991,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zeinab Hachem,,,3025 Albion Rd North RD,Ottawa,Ontario,K1V9V9,613-526-0774,613-526-1941,East Region,info@abischool.com,www.abischool.com,Elem/Sec,Not applicable,Site based only,No Association Membership
66,Ahmadiyya Elementary School,883477,,Reema Malik,,,1194 Matheson Blvd East,Mississauga,Ontario,L4W1R2,416-477-2226,905-832-3220,Central Region,admin@ahmadiyyaschool.ca,,Elementary,Not applicable,Site based only,No Association Membership
67,Ahmadiyya Muslim Elementary School (AMES) Barrie,669605,,Muhammad Sethi,4073,,4th Line,Cookstown,Ontario,L0L1L0,647-784-4960,,Central Region,admin_amesb@ahmadiyyaschool.ca,https://barrie.ahmadiyyaschool.ca/,Elementary,Not applicable,Site based only,No Association Membership
68,Aishah Siddiqah Academy,665328,,Jeenat Ara,,,1480 Janette Ave,Windsor,Ontario,N8X1Z4,437-781-5771,,West Region,asacademy@iaw-ca.com,http://iaw-ca.com/education/for-sisters/asa-academic-school/,Elementary,Not applicable,Site based only,No Association Membership
69,Al Azhar Islamic School,877760,,Yussria Rahman,5,,100 McLevin Ave,Scarborough,Ontario,M1B5K1,416-321-9636,416-321-2426,East Region,alazharins@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
70,Al Furqan School,881297,,Heba Rushdan,,,2825 DuMaurier Avenue,Ottawa,Ontario,K2B7W3,613-680-7261,613-820-1495,East Region,admin.ft@alfurqan.ca,www.alfurqan.ca,Elementary,Not applicable,Site based only,Muslim Association of Canada
71,Al Haadi (9828770 Canada Institute),883124,,Sayyid Ali Imran,16,,690 Progress Avenue,Scarborough,Ontario,M1H3A6,416-628-6252,,East Region,info@alhaadi.ca,www.alhaadi.ca,Elementary,Not applicable,Site based only,No Association Membership
72,Al Haadi Academy,666537,,Majida Saab,,,120 Bermondsey Rd,Toronto,Ontario,M4A1X5,416-562-4950,,Toronto Region,majidashouaib@gmail.com,alhaadiacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
73,Al Huda Elementary School,669831,Offers credits toward the Ontario Secondary School Diploma (OSSD),Imran Haq,,,"1135 Central Parkway, West",Mississauga,Ontario,L5C3J2,905-270-2437,,Central Region,info@alhudaelementary.ca,alhudaelementary.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
74,Al Khayr Academy,667635,,Fayaz Ahmed,,,270 Windsor St,Thunder Bay,Ontario,P7B1V6,866-298-2672,,Toronto Region,alkhayracademy@tbmsb.ca,www.tbmsb.ca,Elementary,Not applicable,Site based only,No Association Membership
75,Al Salam Islamic School,885404,,Soheila Sharifi,,,160 Salvation Rd,Brampton,Ontario,L7A0W7,416-894-3037,,Central Region,masjidalsalamschool@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
76,Al-Ameen Elementary School,884792,,Mohammed Ilyas,201,,389 Main Street North,Brampton,Ontario,L6X3P1,905-866-6555,905-866-6550,Central Region,ilyas@al-ameenschool.com,www.al-ameenschool.com,Elementary,Not applicable,Site based only,No Association Membership
77,Al-Azhar Academy of Canada,887920,,Al-Saeed Mohammad,,,2074 Kipling Ave,Etobicoke,Ontario,M9W4J4,416-741-3420,416-741-5143,Central Region,academy.azhar@gmail.com,www.alazhar.ca,Elementary,Not applicable,Site based only,No Association Membership
78,Al-Falah Islamic,878472,,Wajiha Jamali,,,391 Burnhamthorpe Rd E,Oakville,Ontario,L6H7B4,905-257-5782,,Central Region,office@al-falah.org,www.alfalahschool.ca,Elementary,Not applicable,Site based only,Islamic Circle of North America – Canada
79,Al-Hidayah Academy,667583,,Shua Amari,,,65 Rexdale Blvd,Toronto,Ontario,M9W1P1,416-745-3871,416-745-6722,Central Region,amaari55@hotmail.com,www.alhidayah.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
